time;V(OSC);
0;2.58842e-12;
5e-11;0.252093;
5.11839e-11;0.258251;
5.35517e-11;0.27059;
5.82872e-11;0.29536;
6.77583e-11;0.34525;
8.67005e-11;0.44635;
1.24585e-10;0.653211;
1.45196e-10;0.768007;
1.60215e-10;0.85252;
1.71339e-10;0.914678;
1.84678e-10;0.987486;
1.98235e-10;1.05972;
2.25351e-10;1.19953;
2.58555e-10;1.36313;
3.04338e-10;1.57664;
3.62379e-10;1.82969;
4.4177e-10;2.14765;
5.45657e-10;2.5199;
6.84722e-10;2.94904;
8.75347e-10;3.4253;
1.14711e-09;3.92313;
1.42655e-09;4.26803;
1.71519e-09;4.502;
2.05217e-09;4.67403;
2.39314e-09;4.77891;
2.80279e-09;4.85294;
3.27314e-09;4.89877;
3.92814e-09;4.928;
4.37732e-09;4.93665;
4.78578e-09;4.94124;
5.23561e-09;4.94429;
5.75437e-09;4.94635;
6.22217e-09;4.94743;
6.69312e-09;4.94811;
7.13614e-09;4.94851;
7.59537e-09;4.94879;
8.03991e-09;4.94896;
8.49482e-09;4.94908;
8.93864e-09;4.94916;
9.41019e-09;4.94922;
9.96074e-09;4.94926;
1.05893e-08;4.94929;
1.13326e-08;4.94932;
1.22053e-08;4.94933;
1.32903e-08;4.94934;
1.47146e-08;4.94936;
1.6877e-08;4.94937;
2.06206e-08;4.94939;
2.56206e-08;4.94943;
3.06206e-08;4.94946;
3.56206e-08;4.94949;
4.06206e-08;4.94952;
4.56206e-08;4.94955;
5.06206e-08;4.94959;
5.56206e-08;4.94962;
6.06206e-08;4.94965;
6.56206e-08;4.94968;
7.06206e-08;4.94971;
7.56206e-08;4.94974;
8.06206e-08;4.94978;
8.56206e-08;4.94981;
9.06206e-08;4.94984;
9.56206e-08;4.94987;
1.00621e-07;4.9499;
1.05621e-07;4.94993;
1.10621e-07;4.94997;
1.15621e-07;4.95;
1.20621e-07;4.95003;
1.25621e-07;4.95006;
1.30621e-07;4.95009;
1.35621e-07;4.95012;
1.40621e-07;4.95015;
1.45621e-07;4.95019;
1.50621e-07;4.95022;
1.55621e-07;4.95025;
1.60621e-07;4.95028;
1.65621e-07;4.95031;
1.70621e-07;4.95034;
1.75621e-07;4.95037;
1.80621e-07;4.95041;
1.85621e-07;4.95044;
1.90621e-07;4.95047;
1.95621e-07;4.9505;
2.00621e-07;4.95053;
2.05621e-07;4.95056;
2.10621e-07;4.95059;
2.15621e-07;4.95062;
2.20621e-07;4.95065;
2.25621e-07;4.95069;
2.30621e-07;4.95072;
2.35621e-07;4.95075;
2.40621e-07;4.95078;
2.45621e-07;4.95081;
2.50621e-07;4.95084;
2.55621e-07;4.95087;
2.60621e-07;4.9509;
2.65621e-07;4.95093;
2.70621e-07;4.95096;
2.75621e-07;4.951;
2.80621e-07;4.95103;
2.85621e-07;4.95106;
2.90621e-07;4.95109;
2.95621e-07;4.95112;
3.00621e-07;4.95115;
3.05621e-07;4.95118;
3.10621e-07;4.95121;
3.15621e-07;4.95124;
3.20621e-07;4.95127;
3.25621e-07;4.9513;
3.30621e-07;4.95133;
3.35621e-07;4.95136;
3.40621e-07;4.9514;
3.45621e-07;4.95143;
3.50621e-07;4.95146;
3.55621e-07;4.95149;
3.60621e-07;4.95152;
3.65621e-07;4.95155;
3.70621e-07;4.95158;
3.75621e-07;4.95161;
3.80621e-07;4.95164;
3.85621e-07;4.95167;
3.90621e-07;4.9517;
3.95621e-07;4.95173;
4.00621e-07;4.95176;
4.05621e-07;4.95179;
4.10621e-07;4.95182;
4.15621e-07;4.95185;
4.20621e-07;4.95188;
4.25621e-07;4.95191;
4.30621e-07;4.95194;
4.35621e-07;4.95197;
4.40621e-07;4.952;
4.45621e-07;4.95203;
4.50621e-07;4.95206;
4.55621e-07;4.95209;
4.60621e-07;4.95212;
4.65621e-07;4.95216;
4.70621e-07;4.95219;
4.75621e-07;4.95222;
4.80621e-07;4.95225;
4.85621e-07;4.95228;
4.90621e-07;4.95231;
4.95621e-07;4.95234;
5.00621e-07;4.95237;
5.05621e-07;4.9524;
5.10621e-07;4.95243;
5.15621e-07;4.95246;
5.20621e-07;4.95249;
5.25621e-07;4.95252;
5.30621e-07;4.95255;
5.35621e-07;4.95258;
5.40621e-07;4.9526;
5.45621e-07;4.95264;
5.50621e-07;4.95266;
5.55621e-07;4.95269;
5.60621e-07;4.95272;
5.65621e-07;4.95275;
5.70621e-07;4.95278;
5.75621e-07;4.95281;
5.80621e-07;4.95284;
5.85621e-07;4.95287;
5.90621e-07;4.9529;
5.95621e-07;4.95293;
6.00621e-07;4.95296;
6.05621e-07;4.95299;
6.10621e-07;4.95302;
6.15621e-07;4.95305;
6.20621e-07;4.95308;
6.25621e-07;4.95311;
6.30621e-07;4.95314;
6.35621e-07;4.95317;
6.40621e-07;4.9532;
6.45621e-07;4.95323;
6.50621e-07;4.95326;
6.55621e-07;4.95329;
6.60621e-07;4.95332;
6.65621e-07;4.95335;
6.70621e-07;4.95337;
6.75621e-07;4.9534;
6.80621e-07;4.95343;
6.85621e-07;4.95346;
6.90621e-07;4.95349;
6.95621e-07;4.95352;
7.00621e-07;4.95355;
7.05621e-07;4.95358;
7.10621e-07;4.95361;
7.15621e-07;4.95364;
7.20621e-07;4.95367;
7.25621e-07;4.9537;
7.30621e-07;4.95373;
7.35621e-07;4.95376;
7.40621e-07;4.95378;
7.45621e-07;4.95381;
7.50621e-07;4.95384;
7.55621e-07;4.95387;
7.60621e-07;4.9539;
7.65621e-07;4.95393;
7.70621e-07;4.95396;
7.75621e-07;4.95399;
7.80621e-07;4.95402;
7.85621e-07;4.95405;
7.90621e-07;4.95407;
7.95621e-07;4.9541;
8.00621e-07;4.95413;
8.05621e-07;4.95416;
8.10621e-07;4.95419;
8.15621e-07;4.95422;
8.20621e-07;4.95425;
8.25621e-07;4.95428;
8.30621e-07;4.95431;
8.35621e-07;4.95433;
8.40621e-07;4.95436;
8.45621e-07;4.95439;
8.50621e-07;4.95442;
8.55621e-07;4.95445;
8.60621e-07;4.95448;
8.65621e-07;4.95451;
8.70621e-07;4.95454;
8.75621e-07;4.95456;
8.80621e-07;4.95459;
8.85621e-07;4.95462;
8.90621e-07;4.95465;
8.95621e-07;4.95468;
9.00621e-07;4.95471;
9.05621e-07;4.95474;
9.10621e-07;4.95476;
9.15621e-07;4.95479;
9.20621e-07;4.95482;
9.25621e-07;4.95485;
9.30621e-07;4.95488;
9.35621e-07;4.95491;
9.40621e-07;4.95493;
9.45621e-07;4.95496;
9.50621e-07;4.95499;
9.55621e-07;4.95502;
9.60621e-07;4.95505;
9.65621e-07;4.95508;
9.70621e-07;4.9551;
9.75621e-07;4.95513;
9.80621e-07;4.95516;
9.85621e-07;4.95519;
9.90621e-07;4.95522;
9.95621e-07;4.95525;
1.00062e-06;4.95527;
1.00562e-06;4.9553;
1.01062e-06;4.95533;
1.01562e-06;4.95536;
1.02062e-06;4.95539;
1.02562e-06;4.95541;
1.03062e-06;4.95544;
1.03562e-06;4.95547;
1.04062e-06;4.9555;
1.04562e-06;4.95553;
1.05062e-06;4.95555;
1.05562e-06;4.95558;
1.06062e-06;4.95561;
1.06562e-06;4.95564;
1.07062e-06;4.95567;
1.07562e-06;4.95569;
1.08062e-06;4.95572;
1.08562e-06;4.95575;
1.09062e-06;4.95578;
1.09562e-06;4.95581;
1.10062e-06;4.95583;
1.10562e-06;4.95586;
1.11062e-06;4.95589;
1.11562e-06;4.95592;
1.12062e-06;4.95594;
1.12562e-06;4.95597;
1.13062e-06;4.956;
1.13562e-06;4.95603;
1.14062e-06;4.95606;
1.14562e-06;4.95608;
1.15062e-06;4.95611;
1.15562e-06;4.95614;
1.16062e-06;4.95617;
1.16562e-06;4.95619;
1.17062e-06;4.95622;
1.17562e-06;4.95625;
1.18062e-06;4.95628;
1.18562e-06;4.9563;
1.19062e-06;4.95633;
1.19562e-06;4.95636;
1.20062e-06;4.95639;
1.20562e-06;4.95641;
1.21062e-06;4.95644;
1.21562e-06;4.95647;
1.22062e-06;4.9565;
1.22562e-06;4.95652;
1.23062e-06;4.95655;
1.23562e-06;4.95658;
1.24062e-06;4.95661;
1.24562e-06;4.95663;
1.25062e-06;4.95666;
1.25562e-06;4.95669;
1.26062e-06;4.95671;
1.26562e-06;4.95674;
1.27062e-06;4.95677;
1.27562e-06;4.9568;
1.28062e-06;4.95682;
1.28562e-06;4.95685;
1.29062e-06;4.95688;
1.29562e-06;4.95691;
1.30062e-06;4.95693;
1.30562e-06;4.95696;
1.31062e-06;4.95699;
1.31562e-06;4.95701;
1.32062e-06;4.95704;
1.32562e-06;4.95707;
1.33062e-06;4.95709;
1.33562e-06;4.95712;
1.34062e-06;4.95715;
1.34562e-06;4.95718;
1.35062e-06;4.9572;
1.35562e-06;4.95723;
1.36062e-06;4.95726;
1.36562e-06;4.95728;
1.37062e-06;4.95731;
1.37562e-06;4.95734;
1.38062e-06;4.95736;
1.38562e-06;4.95739;
1.39062e-06;4.95742;
1.39562e-06;4.95744;
1.40062e-06;4.95747;
1.40562e-06;4.9575;
